Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
ch1_d1_a7c43914		She... She said hello to me!	game/script/main_story/chapter_1/ch1_d1.rpy	75	"[what]"
ch1_d1_28ef571e	jen	Okay, everyone, let's begin work!	game/script/main_story/chapter_1/ch1_d1.rpy	76	jen "[what]"
ch1_d1_a5e8d1c4_1		I take a deep breath.	game/script/main_story/chapter_1/ch1_d1.rpy	78	"[what]"
ch1_d1_56b73823		I must focus...	game/script/main_story/chapter_1/ch1_d1.rpy	79	"[what]"
ch1_d1_276e1500		Yes, I can do it!	game/script/main_story/chapter_1/ch1_d1.rpy	81	"[what]"
ch1_d1_128b4b3e		Before I know it, it's lunchtime.	game/script/main_story/chapter_1/ch1_d1.rpy	87	"[what]"
ch1_d1_fdb00e9c		I somehow managed to get through it...	game/script/main_story/chapter_1/ch1_d1.rpy	88	"[what]"
ch1_d1_52cd53d6		I think I'm getting used to having her sit next to me already. Thank goodness.	game/script/main_story/chapter_1/ch1_d1.rpy	89	"[what]"
ch1_d1_c5fb23ff	mc	Let's go to the cafeteria, Hareka.	game/script/main_story/chapter_1/ch1_d1.rpy	91	mc "[what]"
ch1_d1_c05da3d9	hareka	I was planning to.	game/script/main_story/chapter_1/ch1_d1.rpy	94	hareka "[what]"
ch1_d1_c52e9e6b	mc	Ah, yeah, of course...	game/script/main_story/chapter_1/ch1_d1.rpy	97	mc "[what]"
ch1_d1_2018f48f		We head to the cafeteria together.	game/script/main_story/chapter_1/ch1_d1.rpy	104	"[what]"
ch1_d1_972cfcd4		After grabbing our meals, we find an empty table and sit down.	game/script/main_story/chapter_1/ch1_d1.rpy	105	"[what]"
ch1_d1_4e18b8d9		I should probably use this time to get to know her better...	game/script/main_story/chapter_1/ch1_d1.rpy	106	"[what]"
ch1_d1_gettoknowhareka_questions_4f611318	mc	So... What do you like to do in your free time, Hareka?	game/script/main_story/chapter_1/ch1_d1.rpy	112	mc "[what]"
ch1_d1_gettoknowhareka_questions_22a7df16	hareka	I like writing and art.	game/script/main_story/chapter_1/ch1_d1.rpy	115	hareka "[what]"
ch1_d1_gettoknowhareka_questions_69ff4c1b	mc	Oh, wow! So you're the artsy type!	game/script/main_story/chapter_1/ch1_d1.rpy	118	mc "[what]"
ch1_d1_gettoknowhareka_questions_544f6e5b	mc	I like art too!	game/script/main_story/chapter_1/ch1_d1.rpy	119	mc "[what]"
ch1_d1_gettoknowhareka_questions_25b4cc00		Phew, we have something in common already!	game/script/main_story/chapter_1/ch1_d1.rpy	121	"[what]"
ch1_d1_gettoknowhareka_questions_bf026ce8	hareka	Oh.	game/script/main_story/chapter_1/ch1_d1.rpy	123	hareka "[what]"
ch1_d1_gettoknowhareka_questions_a20cefa7		...	game/script/main_story/chapter_1/ch1_d1.rpy	126	"[what]"
ch1_d1_gettoknowhareka_questions_b8960372		What was that flat response?!	game/script/main_story/chapter_1/ch1_d1.rpy	127	"[what]"
ch1_d1_gettoknowhareka_questions_51d29c52		I begin to feel nervous.	game/script/main_story/chapter_1/ch1_d1.rpy	128	"[what]"
ch1_d1_gettoknowhareka_questions_f5c11a81		Maybe she's just shy?	game/script/main_story/chapter_1/ch1_d1.rpy	129	"[what]"
ch1_d1_gettoknowhareka_questions_30796a37		It's best not to think too hard into it.	game/script/main_story/chapter_1/ch1_d1.rpy	130	"[what]"
ch1_d1_gettoknowhareka_questions_b165d070	mc	So... Why did you move to this school, Hareka?	game/script/main_story/chapter_1/ch1_d1.rpy	136	mc "[what]"
ch1_d1_gettoknowhareka_questions_c200fcb9	hareka	I'd rather not speak about that.	game/script/main_story/chapter_1/ch1_d1.rpy	139	hareka "[what]"
ch1_d1_gettoknowhareka_questions_c057cb56	mc	O-Oh... Okay...	game/script/main_story/chapter_1/ch1_d1.rpy	142	mc "[what]"
ch1_d1_gettoknowhareka_questions_206098c5		Huh, strange...	game/script/main_story/chapter_1/ch1_d1.rpy	144	"[what]"
ch1_d1_gettoknowhareka_questions_555c8d77		I'd better respect her decision though.	game/script/main_story/chapter_1/ch1_d1.rpy	145	"[what]"
ch1_d1_gettoknowhareka_questions_0916c7bd	mc	So... What do you think of the school so far?	game/script/main_story/chapter_1/ch1_d1.rpy	150	mc "[what]"
ch1_d1_gettoknowhareka_questions_c4e8007b	mc	Like, through the morning you've been here?	game/script/main_story/chapter_1/ch1_d1.rpy	151	mc "[what]"
ch1_d1_gettoknowhareka_questions_c494ddaf	hareka	I think it's nice.	game/script/main_story/chapter_1/ch1_d1.rpy	154	hareka "[what]"
ch1_d1_gettoknowhareka_questions_c16df516	mc	Oh, good!	game/script/main_story/chapter_1/ch1_d1.rpy	157	mc "[what]"
ch1_d1_gettoknowhareka_questions_fd6fa52b	mc	I'm glad you're liking it so far.	game/script/main_story/chapter_1/ch1_d1.rpy	158	mc "[what]"
ch1_d1_gettoknowhareka_questions_d94ac97f		That's great! I'm glad she's happy.	game/script/main_story/chapter_1/ch1_d1.rpy	160	"[what]"
ch1_d1_gettoknowhareka_questions_7bad8022		Why am I so glad, though...?	game/script/main_story/chapter_1/ch1_d1.rpy	161	"[what]"
ch1_d1_aftermenuone_499dbb09	hareka	Why are you so interested in getting to know me?	game/script/main_story/chapter_1/ch1_d1.rpy	167	hareka "[what]"
ch1_d1_aftermenuone_deabd95a	mc	O-Oh!	game/script/main_story/chapter_1/ch1_d1.rpy	170	mc "[what]"
ch1_d1_aftermenuone_734a91ce		Aah, what do I even say?! That took me totally off guard...	game/script/main_story/chapter_1/ch1_d1.rpy	172	"[what]"
ch1_d1_aftermenuone_cedd54bb		Why do I... That's a good question...	game/script/main_story/chapter_1/ch1_d1.rpy	173	"[what]"
ch1_d1_aftermenuone_ee1ab899	mc	W-Well... Uhm...	game/script/main_story/chapter_1/ch1_d1.rpy	175	mc "[what]"
ch1_d1_aftermenuone_57f73beb		I should just ask her to be friends with me...	game/script/main_story/chapter_1/ch1_d1.rpy	177	"[what]"
ch1_d1_aftermenuone_3a4a2b21		I don't know why I'm so overwhelmed by her, but surely...	game/script/main_story/chapter_1/ch1_d1.rpy	178	"[what]"
ch1_d1_harekafriendchoice_c14c584c	mc	Well...	game/script/main_story/chapter_1/ch1_d1.rpy	183	mc "[what]"
ch1_d1_harekafriendchoice_b29152de	mc	I want to be friends with you...	game/script/main_story/chapter_1/ch1_d1.rpy	184	mc "[what]"
ch1_d1_harekafriendchoice_15f41ab3	mc	I-If you want...	game/script/main_story/chapter_1/ch1_d1.rpy	185	mc "[what]"
ch1_d1_harekafriendchoice_17fe915d		Damn it, that's so embarrassing!	game/script/main_story/chapter_1/ch1_d1.rpy	187	"[what]"
ch1_d1_harekafriendchoice_cc1411a9		I wish I could take it back...	game/script/main_story/chapter_1/ch1_d1.rpy	188	"[what]"
ch1_d1_harekafriendchoice_39af1a77		Aaaah...	game/script/main_story/chapter_1/ch1_d1.rpy	189	"[what]"
ch1_d1_harekafriendchoice_d2781e7e		There's a moment of silence.	game/script/main_story/chapter_1/ch1_d1.rpy	190	"[what]"
ch1_d1_harekafriendchoice_0810f151	hareka	Okay.	game/script/main_story/chapter_1/ch1_d1.rpy	192	hareka "[what]"
ch1_d1_harekafriendchoice_f3d237a1	mc	W-What?!	game/script/main_story/chapter_1/ch1_d1.rpy	195	mc "[what]"
ch1_d1_harekafriendchoice_98c0ea59		There's no way...	game/script/main_story/chapter_1/ch1_d1.rpy	197	"[what]"
ch1_d1_harekafriendchoice_330f8aba	hareka	Sure, you can be my friend.	game/script/main_story/chapter_1/ch1_d1.rpy	199	hareka "[what]"
ch1_d1_harekafriendchoice_011ae1bd		Woah...	game/script/main_story/chapter_1/ch1_d1.rpy	201	"[what]"
ch1_d1_harekafriendchoice_efccfaf5		I...	game/script/main_story/chapter_1/ch1_d1.rpy	202	"[what]"
ch1_d1_harekafriendchoice_e8ffdc5c	mc	O-Okay!	game/script/main_story/chapter_1/ch1_d1.rpy	204	mc "[what]"
ch1_d1_harekafriendchoice_8841f21d	mc	I'll try my best to, um... be a good friend!	game/script/main_story/chapter_1/ch1_d1.rpy	205	mc "[what]"
ch1_d1_harekafriendchoice_a17c4484	hareka	Okay. I look forward to it.	game/script/main_story/chapter_1/ch1_d1.rpy	208	hareka "[what]"
ch1_d1_harekafriendchoice_98b408cc		W-Woah...	game/script/main_story/chapter_1/ch1_d1.rpy	210	"[what]"
ch1_d1_harekafriendchoice_81d3e281		I decide not to ask her. It'd be wayyy too awkward.	game/script/main_story/chapter_1/ch1_d1.rpy	213	"[what]"
ch1_d1_aftermenutwo_db472a8f		Soon enough, lunchtime is over.	game/script/main_story/chapter_1/ch1_d1.rpy	220	"[what]"
ch1_d1_aftermenutwo_293ffebe	mc	Guess it's class time...	game/script/main_story/chapter_1/ch1_d1.rpy	222	mc "[what]"
ch1_d1_aftermenutwo_3c3fbe68	hareka	Yes, it is.	game/script/main_story/chapter_1/ch1_d1.rpy	225	hareka "[what]"
ch1_d1_aftermenutwo_25ba54cf		We clear our trays and head back to class.	game/script/main_story/chapter_1/ch1_d1.rpy	227	"[what]"
ch1_d1_aftermenutwo_17ac796c		The day finishes rather quickly.	game/script/main_story/chapter_1/ch1_d1.rpy	233	"[what]"
ch1_d1_aftermenutwo_7b3a454e		I pack up and turn to Hareka.	game/script/main_story/chapter_1/ch1_d1.rpy	234	"[what]"
ch1_d1_aftermenutwo_a180d075	mc	How do you get home?	game/script/main_story/chapter_1/ch1_d1.rpy	236	mc "[what]"
ch1_d1_aftermenutwo_20837961	hareka	I take the train.	game/script/main_story/chapter_1/ch1_d1.rpy	239	hareka "[what]"
ch1_d1_aftermenutwo_21296466	mc	Oh! So do I!	game/script/main_story/chapter_1/ch1_d1.rpy	242	mc "[what]"
ch1_d1_aftermenutwo_e0ef9755	mc	Do you want to go home together?	game/script/main_story/chapter_1/ch1_d1.rpy	244	mc "[what]"
ch1_d1_aftermenutwo_29ef0980		W-Wait...	game/script/main_story/chapter_1/ch1_d1.rpy	246	"[what]"
ch1_d1_aftermenutwo_bc0b2760		Why did I say that?!	game/script/main_story/chapter_1/ch1_d1.rpy	247	"[what]"
ch1_d1_aftermenutwo_5d375a7a		Ohhhh no, that's bad... that's really bad...	game/script/main_story/chapter_1/ch1_d1.rpy	248	"[what]"
ch1_d1_aftermenutwo_f24e3b5b		It was impulsive...	game/script/main_story/chapter_1/ch1_d1.rpy	249	"[what]"
ch1_d1_aftermenutwo_0810f151	hareka	Okay.	game/script/main_story/chapter_1/ch1_d1.rpy	251	hareka "[what]"
ch1_d1_aftermenutwo_e1b29580	mc	O-O-Oh! O-Okay!	game/script/main_story/chapter_1/ch1_d1.rpy	254	mc "[what]"
ch1_d1_aftermenutwo_d43a0111	mc	Um, let's go then...!	game/script/main_story/chapter_1/ch1_d1.rpy	255	mc "[what]"
ch1_d1_aftermenutwo_16414b7e		Oh my gosh... I don't believe it...	game/script/main_story/chapter_1/ch1_d1.rpy	264	"[what]"
ch1_d1_aftermenutwo_55c095d9		I'm going home with a girl...	game/script/main_story/chapter_1/ch1_d1.rpy	265	"[what]"
ch1_d1_aftermenutwo_008d0232		I'm on a train with a girl!	game/script/main_story/chapter_1/ch1_d1.rpy	266	"[what]"
ch1_d1_aftermenutwo_f8241f99		A girl I'm friends with!!	game/script/main_story/chapter_1/ch1_d1.rpy	268	"[what]"
ch1_d1_aftermenutwo_f6245e3e		This is the greatest day of my life!!!	game/script/main_story/chapter_1/ch1_d1.rpy	269	"[what]"
ch1_d1_aftermenutwo_1ac91c2c	hareka	Are you okay?	game/script/main_story/chapter_1/ch1_d1.rpy	271	hareka "[what]"
ch1_d1_aftermenutwo_d01bbf60	mc	W-W-What??	game/script/main_story/chapter_1/ch1_d1.rpy	274	mc "[what]"
ch1_d1_aftermenutwo_5c01234f	hareka	You look really flushed. Are you too warm?	game/script/main_story/chapter_1/ch1_d1.rpy	277	hareka "[what]"
ch1_d1_aftermenutwo_4f3366d6	mc	O-Oh...	game/script/main_story/chapter_1/ch1_d1.rpy	280	mc "[what]"
ch1_d1_aftermenutwo_6457ff12		Shit. She noticed.	game/script/main_story/chapter_1/ch1_d1.rpy	282	"[what]"
ch1_d1_aftermenutwo_838db904	mc	M-Maybe...	game/script/main_story/chapter_1/ch1_d1.rpy	284	mc "[what]"
ch1_d1_aftermenutwo_d1b58774	hareka	Why don't you take off your blazer?	game/script/main_story/chapter_1/ch1_d1.rpy	287	hareka "[what]"
ch1_d1_aftermenutwo_315ebe4f		Oh, right...	game/script/main_story/chapter_1/ch1_d1.rpy	289	"[what]"
ch1_d1_aftermenutwo_bc728f57		I remove it as she asked.	game/script/main_story/chapter_1/ch1_d1.rpy	291	"[what]"
ch1_d1_aftermenutwo_b665b5a3		I begin to calm down a bit.	game/script/main_story/chapter_1/ch1_d1.rpy	292	"[what]"
ch1_d1_aftermenutwo_aae61e2a		The ride continues in silence.	game/script/main_story/chapter_1/ch1_d1.rpy	294	"[what]"
ch1_d1_aftermenutwo_65d92168		After a while, the train announces her stop. She stands up.	game/script/main_story/chapter_1/ch1_d1.rpy	295	"[what]"
ch1_d1_aftermenutwo_19ad8116	hareka	Thank you for coming with me.	game/script/main_story/chapter_1/ch1_d1.rpy	297	hareka "[what]"
ch1_d1_aftermenutwo_13ecd554	mc	O-Oh, you're welcome!	game/script/main_story/chapter_1/ch1_d1.rpy	300	mc "[what]"
ch1_d1_aftermenutwo_19a84a84		Damn it, I was caught off guard... I didn't expect her to thank me...	game/script/main_story/chapter_1/ch1_d1.rpy	302	"[what]"
ch1_d1_aftermenutwo_fd2ee344	hareka	I'll see you tomorrow.	game/script/main_story/chapter_1/ch1_d1.rpy	304	hareka "[what]"
ch1_d1_aftermenutwo_f5b030b6	mc	Yeah, okay!	game/script/main_story/chapter_1/ch1_d1.rpy	307	mc "[what]"
ch1_d1_aftermenutwo_3f81b008	mc	Bye!	game/script/main_story/chapter_1/ch1_d1.rpy	308	mc "[what]"
ch1_d1_aftermenutwo_3692d157		She exits the train.	game/script/main_story/chapter_1/ch1_d1.rpy	311	"[what]"
ch1_d1_aftermenutwo_67bb3369		I'm left with a rush of dopamine.	game/script/main_story/chapter_1/ch1_d1.rpy	312	"[what]"
ch1_d1_aftermenutwo_e710083a		Wow... I can't believe this happened...	game/script/main_story/chapter_1/ch1_d1.rpy	313	"[what]"
ch1_d1_aftermenutwo_92302eaa		She's so...	game/script/main_story/chapter_1/ch1_d1.rpy	314	"[what]"
ch1_d1_aftermenutwo_39af1a77		Aaaah...	game/script/main_story/chapter_1/ch1_d1.rpy	315	"[what]"
ch1_d1_aftermenutwo_01cacf36		I finally return home.	game/script/main_story/chapter_1/ch1_d1.rpy	320	"[what]"
ch1_d1_aftermenutwo_275c3a96		My stop is much further than hers...	game/script/main_story/chapter_1/ch1_d1.rpy	321	"[what]"
ch1_d1_aftermenutwo_0481ed6e		Going to a school so far away was always a pain, even though I liked going... but maybe I don't mind so much now.	game/script/main_story/chapter_1/ch1_d1.rpy	322	"[what]"
ch1_d1_aftermenutwo_6982d995		She's so... cool...	game/script/main_story/chapter_1/ch1_d1.rpy	324	"[what]"
ch1_d1_aftermenutwo_32198fa6		And she's my friend now... I can't believe it...	game/script/main_story/chapter_1/ch1_d1.rpy	326	"[what]"
ch1_d1_aftermenutwo_a98cc5af		Well, I'd better get started on dinner.	game/script/main_story/chapter_1/ch1_d1.rpy	328	"[what]"
ch1_d1_aftermenutwo_ae1ff67a		I made spaghetti bolognese for dinner, and then played some video games for a while.	game/script/main_story/chapter_1/ch1_d1.rpy	332	"[what]"
ch1_d1_aftermenutwo_965de873		Now it's finally time for bed...	game/script/main_story/chapter_1/ch1_d1.rpy	333	"[what]"
ch1_d1_aftermenutwo_a010b103		I snuggle into my bed. It's nice and warm.	game/script/main_story/chapter_1/ch1_d1.rpy	334	"[what]"
ch1_d1_aftermenutwo_7459f218		I can't wait to see her tomorrow...	game/script/main_story/chapter_1/ch1_d1.rpy	335	"[what]"
ch1_d1_aftermenutwo_5878e351	centered	Chapter 1 - Day 1 complete!	game/script/main_story/chapter_1/ch1_d1.rpy	339	centered "[what]"
ch1_d1_completemenu_25c99e20		You've chosen to replay Chapter 1 - Day 1.\nEnjoy!	game/script/main_story/chapter_1/ch1_d1.rpy	343	"[what]"
ch1_d1_completemenu_bcae568a		You've chosen to move on to Chapter 1 - Day 2.\nEnjoy!	game/script/main_story/chapter_1/ch1_d1.rpy	346	"[what]"
ch1_d2_0a8635e1	centered	Chapter 1 - Day 2\n Wednesday 30th August 3056	game/script/main_story/chapter_1/ch1_d2.rpy	4	centered "[what]"
ch1_d2_0d004265		It's a new day.	game/script/main_story/chapter_1/ch1_d2.rpy	10	"[what]"
ch1_d2_a61e672c	mc	Good morning, Hareka!	game/script/main_story/chapter_1/ch1_d2.rpy	12	mc "[what]"
ch1_d2_bbf894c0	hareka	Good morning.	game/script/main_story/chapter_1/ch1_d2.rpy	15	hareka "[what]"
ch1_d2_c8741b6b	hareka	Do you feel better now?	game/script/main_story/chapter_1/ch1_d2.rpy	16	hareka "[what]"
ch1_d2_46eb6140	mc	Yes, much better.	game/script/main_story/chapter_1/ch1_d2.rpy	19	mc "[what]"
ch1_d2_6b7343dd	hareka	Good.	game/script/main_story/chapter_1/ch1_d2.rpy	22	hareka "[what]"
ch1_d2_8102af9f		Yes, I've spent the whole night thinking, and decided if I keep acting weird, she won't like me anymore...	game/script/main_story/chapter_1/ch1_d2.rpy	24	"[what]"
ch1_d2_22a6d30e		So I'm going to try my best to keep calm!	game/script/main_story/chapter_1/ch1_d2.rpy	26	"[what]"
ch1_d2_9d235d7b		Mrs Robertson enters.	game/script/main_story/chapter_1/ch1_d2.rpy	28	"[what]"
ch1_d2_8f58474e	jen	Good morning, everyone!	game/script/main_story/chapter_1/ch1_d2.rpy	30	jen "[what]"
ch1_d2_4014bba2	jen	Let's begin another day!	game/script/main_story/chapter_1/ch1_d2.rpy	31	jen "[what]"
ch1_d2_7ea75d9f		The class begins.	game/script/main_story/chapter_1/ch1_d2.rpy	33	"[what]"
ch1_d2_ae0a1539		I turn to Hareka.	game/script/main_story/chapter_1/ch1_d2.rpy	34	"[what]"
ch1_d2_26133f66	mc	Hey, what's your favourite subject?	game/script/main_story/chapter_1/ch1_d2.rpy	36	mc "[what]"
ch1_d2_ce5830a1	hareka	I haven't decided.	game/script/main_story/chapter_1/ch1_d2.rpy	39	hareka "[what]"
ch1_d2_5de6c3bd	mc	Ah, me neither.	game/script/main_story/chapter_1/ch1_d2.rpy	42	mc "[what]"
ch1_d2_0d408f88	jen	Alexander, Hareka, please pay attention.	game/script/main_story/chapter_1/ch1_d2.rpy	45	jen "[what]"
ch1_d2_ad9d747e	mc	Ah, sorry.	game/script/main_story/chapter_1/ch1_d2.rpy	48	mc "[what]"
ch1_d2_ca70b474		Hareka doesn't respond.	game/script/main_story/chapter_1/ch1_d2.rpy	51	"[what]"
ch1_d2_0ee108a1		Oops...	game/script/main_story/chapter_1/ch1_d2.rpy	52	"[what]"
ch1_d2_dc4644e8		It's finally lunchtime.	game/script/main_story/chapter_1/ch1_d2.rpy	57	"[what]"
ch1_d2_482f046f	jen	Right, lunchtime!	game/script/main_story/chapter_1/ch1_d2.rpy	59	jen "[what]"
ch1_d2_7867a0e2	jen	I'll see you all later!	game/script/main_story/chapter_1/ch1_d2.rpy	60	jen "[what]"
ch1_d2_de2292d4		Mrs Robertson leaves.	game/script/main_story/chapter_1/ch1_d2.rpy	63	"[what]"
ch1_d2_b315e81f	mc	Let's go to lunch!	game/script/main_story/chapter_1/ch1_d2.rpy	65	mc "[what]"
ch1_d2_69b6bd4b	hareka	Yes.	game/script/main_story/chapter_1/ch1_d2.rpy	68	hareka "[what]"
start_60981f0e	centered	I used to be happy.	game/script/main_story/prologue.rpy	4	centered "[what]"
start_1424151d	centered	I used to be innocent.	game/script/main_story/prologue.rpy	5	centered "[what]"
start_2c473249	centered	I used to be capable of love.	game/script/main_story/prologue.rpy	6	centered "[what]"
start_c602045d	centered	Then... I broke.	game/script/main_story/prologue.rpy	7	centered "[what]"
start_f81ea538	centered	This guy wanted to help me.	game/script/main_story/prologue.rpy	8	centered "[what]"
start_d9e7eaf2	centered	I don't know why...	game/script/main_story/prologue.rpy	9	centered "[what]"
start_5dffd6dd	centered	Maybe things could change?	game/script/main_story/prologue.rpy	10	centered "[what]"
start_497fced1	centered	If... only...	game/script/main_story/prologue.rpy	11	centered "[what]"
